Organizational Knowledge	Knows CCETC staff benefits	1	Able to locate & use information re: staff benefits (including ongoing staff resources such as EAP, Wellness Program, etc.).	HR Benefits Session 	Benefits Session with HR rep (arranged with all eligible staff)	Contact Krystal Dunn or Theresa Emerick.	0	
Organizational Knowledge	Knows CCETC staff benefits	1	Able to locate & use information re: staff benefits (including ongoing staff resources such as EAP, Wellness Program, etc.).	Cornell Online Benefits Info	MyCCE Orientation and Dashboard; Cornell Online Benefits information	http://staff.cce.cornell.edu/human_resources/Pages/BenefitsIndex.aspx	0	
Organizational Knowledge	Knows how to use shared office equipment	1	Knows how to use office equipment and resources (phone; copier/scanner; fax; printers; online room equipment & van reservation systems; bicycle sign-outs). 	Orientation Check List	Complete orientation checklist		0	
Organizational Knowledge	Familiar with physical environment of CCETC workplace		Familar with layout of CCETC Education Center.	CCETC Orientation Presentation		Contact Krystal Dunn for dates of next session.	0	
Organizational Knowledge	Knows basic HR, building and safety policies		Knows CCETC's basic HR, building and association-wide safety policies, and where to find information about them. 	CCETC Orientation Presentation		Contact Krystal Dunn for dates of next session.	0	
Organizational Knowledge	Knows basic HR, building and safety policies		Knows CCETC's basic HR, building and association-wide safety policies, and where to find information about them. 	Online Resources re: basic CCETC's HR, building and safety policies			0	
Organizational Knowledge	Knows CCE mission, history and organizational structure	1	Understands the mission, history and organizational structure of the CCE system generally, and CCETC in particular.	CCETC Orientation Presentation		Contact Krystal Dunn for dates of next session.	0	
Organizational Knowledge	Knows CCE mission, history and organizational structure	1	Understands the mission, history and organizational structure of the CCE system generally, and CCETC in particular.	New Staff Orientation on Campus	On-campus CCE orientation provides new employees with CCE history, mission and structure. There are two levels, based on classification of the employee. Registration required.  	http://staff.cce.cornell.edu/Pages/home.aspx	0	
Organizational Knowledge	Knows CCE mission, history and organizational structure	1	Understands the mission, history and organizational structure of the CCE system generally, and CCETC in particular.	New Staff Orientation Pre-Recorded Session	CCE Administration offers two pre-recorded webinars (with Powerpoint presentations) for new employees.	http://staff.cce.cornell.edu/orgdev/Pages/Course-Description2.aspx?courseid=75	0	
Organizational Knowledge	Knows CCE mission, history and organizational structure	1	Understands the mission, history and organizational structure of the CCE system generally, and CCETC in particular.	MyCCE Orientation Materials	Web-based information about CCE-Tompkins history	https://mycce.me/content/about-ccetc-history-and-ethos	0	
Organizational Knowledge	Understands CCETC's unwritten organizational culture	1	Understands the unwritten organizational culture, norms, and expectations of non-profits in general and CCETC in particular.					
Organizational Knowledge	Familiar with CCETC Strategic Plan	1	Is aware of the CCETC Strategic Plan, understands key goals, and knows how one's individual work contributes to them.	MyCCE Orientation Materials - CCETC Strategic Plan	Full strategic plan for employees to review 	https://mycce.me/content/my-hr-forms-and-references-tompkins-strategic-plan-prologue	0	
Organizational Knowledge	Conducts new staff orientation	2	Understands the CCETC new staff orientation expectations, timelines & resources available. Can communicate that to others. Ensures team members complete required orientation and receive needed support.	MyCCE Orientation Materials	Orientation resources for supervisors to assign/review with staff	http://staff.cce.cornell.edu/orgdev/Pages/New-Staff.aspx	0	
Organizational Knowledge	Conducts new staff orientation	2	Understands the CCETC new staff orientation expectations, timelines & resources available. Can communicate that to others. Ensures team members complete required orientation and receive needed support.	CCE Orientation Guide for Supervisors	Information from CCE Administration to assist with orientation of new employees	http://staff.cce.cornell.edu/orgdev/Pages/newstafforientation.aspx	0	
Organizational Knowledge	Conducts new staff orientation	2	Understands the CCETC new staff orientation expectations, timelines & resources available. Can communicate that to others. Ensures team members complete required orientation and receive needed support.	CCETC Additional Orientation Resources for Supervisors	Additional association-based resources to assist CCETC supervisors with orientation of new employees		0	
Organizational Knowledge	Understands CCE Tompkins Strategic Plan	2	Can articulate how the team's work (individually and collectively) fits within the CCETC Strategic Plan and the activities and outcomes that contribute to its success.					
Organizational Knowledge	Orients new supervisors	3	Understands CCETC's expectations, timeline & resources for new supervisor orientation. Can communicate that to others. Ensures new supervisors have required orientation and receive needed support.	MyCCE Supervisor Materials	Multiple resources for supervisor use. May require in person review with HR or Issue Leader.	http://staff.cce.cornell.edu/orgdev/Pages/newstafforientation.aspx	0	
Organizational Knowledge	Orients new supervisors	3	Understands CCETC's expectations, timeline & resources for new supervisor orientation. Can communicate that to others. Ensures new supervisors have required orientation and receive needed support.	CCE Administration Supervisor Orientation	Campus-based training for new CCE supervisors	http://staff.cce.cornell.edu/orgdev/Pages/Course-Description2.aspx?courseid=114	0	
Organizational Knowledge	Ensures appropriate staff orientation	3	Ensures the development of approprite CCETC staff orientation resources, in accordance with CCE & University policies; best HR & staff development practices; and CCETC's values and strategic goals. Ensures accountability for orienting new staff and new supervisors.					
Organizational Knowledge	Develops strategic planning processes	3	Helps lead the CCETC 5-Year strategic planning processes, and tracks, assesses and reports on progress, gaps, etc.					
Health, Safety & Risk Management	Knows CCETC risk management and other safety procedures	1	Understands and can carry out CCETC policies and procedures re: building security, accident management and reporting, on-the-job driving, contracts and insurance, volunteers, photo release forms, permission forms and emergency action plan. Knows building layout, general emergency procedures, and who to contact in case of an emergency (during & after standard business hours). Knows who to contact concerning routine maintenance problems.	Risk Management Training during All-Staff	All-Staff Mtg Safety Updates		0	
Health, Safety & Risk Management	Knows CCETC risk management and other safety procedures 	1	Understands and can carry out CCETC policies and procedures re: building security, accident management and reporting, on-the-job driving, contracts and insurance, volunteers, photo release forms, permission forms and emergency action plan. Knows building layout, general emergency procedures, and who to contact in case of an emergency (during & after standard business hours). Knows who to contact concerning routine maintenance problems.	Workplace Violence Training	In-person training for new employees - covers statistics about violence in the workplace, warning signs and avoidance techniques		0	
