Prgoram Assistant I		Knows CCETC staff benefits	1		1=associate's
Prgoram Assistant I		Knows how to use shared office equipment	1		2=bachelor's
Prgoram Assistant I		Familiar with physical environment of CCETC workplace	1		3=master's
Prgoram Assistant I		Knows basic HR, building and safety policies	1		
Prgoram Assistant I		Knows CCE mission, history and organizational structure	1		
Prgoram Assistant I		Understands CCETC's unwritten organizational culture	1		
Prgoram Assistant I		Familiar with CCETC Strategic Plan	1		
Prgoram Assistant I		Knows CCETC risk management and other safety procedures	1		
Prgoram Assistant I		Knows CCETC non-discrimination policies	1		
Prgoram Assistant I		Knows health-related staff support services	1		
Prgoram Assistant I		Stress management skills	1		
Prgoram Assistant I		Successfully contributes to an inclusive organizational culture	1		
Prgoram Assistant I		Can build effective relationships with people from diverse backgrounds. Understands how achieving equity and inclusion requires a combination of personal behaviors, organizational practices, and institutionalized policies. 	1		
Prgoram Assistant I		Has excellent customer-service skills	1		
Prgoram Assistant I		Has good verbal communication skills	1		
Prgoram Assistant I		Has strong listening skills	1		
Prgoram Assistant I		Has good written communication skills	1		
Prgoram Assistant I		Can effectively present to groups of program participants	1		
Prgoram Assistant I		Knows CCETC financial policies and procedures	1		
Prgoram Assistant I		Effectively uses standard computer programs	1		
Prgoram Assistant I		Develops online information	1		
Prgoram Assistant I		Is able to use established systems for organizing own schedules and priorities	1		
Prgoram Assistant I		Can perform the necessary steps to accomplish program goals 	1		
Prgoram Assistant I		Effectively works as part of a team	1		
Prgoram Assistant I		Effectively works as part of a diverse team	1		
Prgoram Assistant I		Ability to deliver program appropriate to the audience	1		
Prgoram Assistant I		Able to identify appropriate resources for program delivery	1		
Prgoram Assistant I		Can administer evaluations designed by others	1		
Prgoram Assistant I		Knows CCETC policies re: volunteers	1		
Prgoram Assistant I		Can recruit, retain and supervise diverse volunteers appropriately	1		
Prgoram Assistant I		Can provide guidance to volunteers	1		
Prgoram Assistant I		Can provide low complexity administrative tasks surrounding marketing and promotion of the program	1		
Prgoram Assistant I		Can present information about programs and offerings to the public in a community/tabling forum	1		
Prgoram Assistant I		Can provide effective guidance to others	1		
Prgoram Assistant I		Can effectively work from home	1		
Prgoram Assistant I		Awareness of Personal Strengths and Values	1		
Prgoram Assistant I		Ability to make positive changes.	1		
Prgoram Assistant I		Career Advancement	1		
Program Assistant II		Knows CCETC staff benefits	1		
Program Assistant II		Knows how to use shared office equipment	1		
Program Assistant II		Familiar with physical environment of CCETC workplace	1		
Program Assistant II		Knows basic HR, building and safety policies	1		
Program Assistant II		Knows CCE mission, history and organizational structure	1		
Program Assistant II		Understands CCETC's unwritten organizational culture	1		
Program Assistant II		Familiar with CCETC Strategic Plan	1		
Program Assistant II		Knows CCETC risk management and other safety procedures	1		
Program Assistant II		Knows CCETC non-discrimination policies	1		
Program Assistant II		Knows health-related staff support services	1		
Program Assistant II		Stress management skills	1		
Program Assistant II		Successfully contributes to an inclusive organizational culture	1		
Program Assistant II		Can build effective relationships with people from diverse backgrounds. Understands how achieving equity and inclusion requires a combination of personal behaviors, organizational practices, and institutionalized policies. 	1		
Program Assistant II		Has excellent customer-service skills	1		
Program Assistant II		Has good verbal communication skills	1		
Program Assistant II		Has strong listening skills	1		
Program Assistant II		Has good written communication skills	1		
Program Assistant II		Can effectively present to groups of program participants	1		
Program Assistant II		Knows CCETC financial policies and procedures	1		
Program Assistant II		Effectively uses standard computer programs	1		
Program Assistant II		Develops online information	1		
Program Assistant II		Is able to use established systems for organizing own schedules and priorities	1		
Program Assistant II		Can perform the necessary steps to accomplish program goals 	1		
Program Assistant II		Effectively works as part of a team	1		
Program Assistant II		Effectively works as part of a diverse team	1		
Program Assistant II		Ability to deliver program appropriate to the audience	1		
Program Assistant II		Able to identify appropriate resources for program delivery	1		
Program Assistant II		Can administer evaluations designed by others	1		
Program Assistant II		Knows CCETC policies re: volunteers	1		
Program Assistant II		Can recruit, retain and supervise diverse volunteers appropriately	1		
Program Assistant II		Can provide guidance to volunteers	1		
Program Assistant II		Can provide low complexity administrative tasks surrounding marketing and promotion of the program	1		
Program Assistant II		Can present information about programs and offerings to the public in a community/tabling forum	1		
Program Assistant II		Can provide effective guidance to others	1		
Program Assistant II		Can effectively work from home	1		
Program Assistant II		Awareness of Personal Strengths and Values	1		
Program Assistant II		Ability to make positive changes.	1		
Program Assistant II		Career Advancement	1		
Program Educator I		Knows CCETC staff benefits	1		
Program Educator I		Knows how to use shared office equipment	1		
Program Educator I		Familiar with physical environment of CCETC workplace	1		
Program Educator I		Knows basic HR, building and safety policies	1		
Program Educator I		Knows CCE mission, history and organizational structure	1		
Program Educator I		Understands CCETC's unwritten organizational culture	1		
Program Educator I		Familiar with CCETC Strategic Plan	1		
Program Educator I		Knows CCETC risk management and other safety procedures	1		
Program Educator I		Knows CCETC non-discrimination policies	1		
Program Educator I		Knows health-related staff support services	1		
Program Educator I		Stress management skills	1		
Program Educator I		Successfully contributes to an inclusive organizational culture	1		
Program Educator I		Can build effective relationships with people from diverse backgrounds. Understands how achieving equity and inclusion requires a combination of personal behaviors, organizational practices, and institutionalized policies. 	1		
Program Educator I		Has excellent customer-service skills	1		
Program Educator I		Has good verbal communication skills	1		
Program Educator I		Has strong listening skills	1		
Program Educator I		Has good written communication skills	1		
Program Educator I		Can effectively present to groups of program participants	1		
Program Educator I		Knows CCETC financial policies and procedures	1		
Program Educator I		Effectively uses standard computer programs	1		
Program Educator I		Develops online information	1		
Program Educator I		Is able to use established systems for organizing own schedules and priorities	1		
Program Educator I		Can perform the necessary steps to accomplish program goals 	1		
Program Educator I		Effectively works as part of a team	1		
Program Educator I		Effectively works as part of a diverse team	1		
Program Educator I		Ability to deliver program appropriate to the audience	1		
Program Educator I		Able to identify appropriate resources for program delivery	1		
Program Educator I		Can administer evaluations designed by others	1		
Program Educator I		Knows CCETC policies re: volunteers	1		
Program Educator I		Can recruit, retain and supervise diverse volunteers appropriately	1		
Program Educator I		Can provide guidance to volunteers	1		
Program Educator I		Can provide low complexity administrative tasks surrounding marketing and promotion of the program	1		
Program Educator I		Can present information about programs and offerings to the public in a community/tabling forum	1		
Program Educator I		Can provide effective guidance to others	1		
Program Educator I		Can effectively work from home	1		
Program Educator I		Awareness of Personal Strengths and Values	1		
Program Educator I		Ability to make positive changes.	1		
Program Educator I		Career Advancement	1		
Program Coordinator I		Knows CCETC staff benefits	1		
Program Coordinator I		Knows how to use shared office equipment	1		
Program Coordinator I		Familiar with physical environment of CCETC workplace	1		
Program Coordinator I		Knows basic HR, building and safety policies	1		
Program Coordinator I		Knows CCE mission, history and organizational structure	1		
Program Coordinator I		Understands CCETC's unwritten organizational culture	1		
Program Coordinator I		Familiar with CCETC Strategic Plan	1		
Program Coordinator I		Knows CCETC risk management and other safety procedures	1		
Program Coordinator I		Knows CCETC non-discrimination policies	1		
Program Coordinator I		Knows health-related staff support services	1		
Program Coordinator I		Stress management skills	1		
Program Coordinator I		Successfully contributes to an inclusive organizational culture	1		
Program Coordinator I		Can build effective relationships with people from diverse backgrounds. Understands how achieving equity and inclusion requires a combination of personal behaviors, organizational practices, and institutionalized policies. 	1		
Program Coordinator I		Has excellent customer-service skills	1		
Program Coordinator I		Has good verbal communication skills	1		
Program Coordinator I		Has strong listening skills	1		
Program Coordinator I		Has good written communication skills	1		
Program Coordinator I		Can effectively present to groups of program participants	1		
Program Coordinator I		Knows CCETC financial policies and procedures	1		
Program Coordinator I		Effectively uses standard computer programs	1		
Program Coordinator I		Develops online information	1		
Program Coordinator I		Is able to use established systems for organizing own schedules and priorities	1		
Program Coordinator I		Can perform the necessary steps to accomplish program goals 	1		
Program Coordinator I		Effectively works as part of a team	1		
Program Coordinator I		Effectively works as part of a diverse team	1		
Program Coordinator I		Ability to deliver program appropriate to the audience	1		
Program Coordinator I		Able to identify appropriate resources for program delivery	1		
Program Coordinator I		Can administer evaluations designed by others	1		
Program Coordinator I		Knows CCETC policies re: volunteers	1		
Program Coordinator I		Can recruit, retain and supervise diverse volunteers appropriately	1		
Program Coordinator I		Can provide guidance to volunteers	1		
Program Coordinator I		Can provide low complexity administrative tasks surrounding marketing and promotion of the program	1		
Program Coordinator I		Can present information about programs and offerings to the public in a community/tabling forum	1		
Program Coordinator I		Can provide effective guidance to others	1		
Program Coordinator I		Can effectively work from home	1		
Program Coordinator I		Awareness of Personal Strengths and Values	1		
Program Coordinator I		Ability to make positive changes.	1		
Program Coordinator I		Career Advancement	1		
Program Educator II		Knows CCETC staff benefits	1		
Program Educator II		Knows how to use shared office equipment	1		
Program Educator II		Familiar with physical environment of CCETC workplace	1		
Program Educator II		Knows basic HR, building and safety policies	1		
Program Educator II		Knows CCE mission, history and organizational structure	1		
Program Educator II		Understands CCETC's unwritten organizational culture	1		
Program Educator II		Familiar with CCETC Strategic Plan	1		
Program Educator II		Knows CCETC risk management and other safety procedures	1		
Program Educator II		Knows CCETC non-discrimination policies	1		
Program Educator II		Knows health-related staff support services	1		
Program Educator II		Stress management skills	1		
Program Educator II		Successfully contributes to an inclusive organizational culture	1		
