id	code	title	approver	member	remove
21	108	2015 NYFVI			X
13	79	2016 Park- Know Your Farmer		jmh37,vmt5	
28	132	2017 Risk Management		mnl28	
22	111	Ag and Farmland, AFPB		dlt22	
122	802	Ag/Env. Programs- General		dlt22,mnl28,cab69,jrc10	
139	910	Ag/Env. Roth Suspense Account	ks47	mnl28,mjc72	
148	920	Ag in the Classroom, AITC (MR)		dlt22	
147	919	Agri-business Classes		mnl28,dlt22	
27	131	Ag Tourism		dlt22,mjc72	
141	913	Buy Local		jmh37,vmt5	
31	141	Citizen Pruners		jmw53,mjc72	
32	148	Comm.Beautification-Operations/Non-Plant	cab69	mg10	
20	103	County Agriculinary Tourism		kv89	
19	102	Culinary Cuts		mnl28	
140	911	Demonstration Gardens		jrc10,cab69	
23	112	Farm-City Day, FCD		dlt22	
145	917	Garden Fair, Ag		cab69	
144	916	Garden Fair,  MG		jrc10	
26	129	Groundswell			X
24	124	Hatch-Expanding the Beef Industry			X
146	918	Horticulture  classes		jrc10,cab69	
30	140	Ithaca Childrens Garden	enm6	las466	
143	915	Master Gardeners Trips/Training		jrc10	
142	914	MG Operations		jrc10	
152	927	M. LeRoux Marketing Travel Acct.		mnl28	
29	133	Park-Securing a Future for Farming		dlt22	
18	101	Southern Tier  Ag.  Programs, Regional		mnl28	
25	127	USDA FMPP-'Meat Locker Concept'		mnl28,kv89	
33	149	Van #4-Chrysler		mjc72,acm1,mnl28,mg10	
149	921	Van #5-Flower Van-Ford	cab69	mg10	
176	993	Beautification Truck	cab69	mg10	
