Name	Photo		Alternatives and/or Notes
Baked Goods	https://s3.amazonaws.com/assets.cce.cornell.edu/images/23072/original/breads.jpg?1506457311		
Brewery/Cidery	https://images.unsplash.com/photo-1455750252915-5218bdcc0816		
Christmas Tree Farm	https://images.unsplash.com/photo-1439871846984-851e435a999b		
CSA	https://scontent-ort2-1.xx.fbcdn.net/v/t1.0-9/23519030_1627560460598302_7150951384503942247_n.jpg?oh=7de52b2502afb6ba929433b999425ca8&oe=5AB8E2F9		
Dairy Products	https://c.pxhere.com/photos/bd/0e/wine_cheese_bread_caf_paris_france_travel_meal-862296.jpg!d		
Farm Market	https://c.pxhere.com/photos/5e/33/vegetable_tomato_farmers_market_corn_price-1360114.jpg!d		
Farm Tours/Farm Stay	https://scontent-ort2-1.xx.fbcdn.net/v/t31.0-8/20232159_1560172407390211_9104156011426165785_o.jpg?oh=eacf17d66affb9b0bfefad3491851b90&oe=5AFAEC2C		
Farmers Market	https://s3.amazonaws.com/assets.cce.cornell.edu/images/629/original/ifm-cornell.png?1392052277		
Gift Shop & Specialty Products	https://images.pexels.com/photos/159991/pexels-photo-159991.jpeg?w=1260&h=750&auto=compress&cs=tinysrgb		
Maple & Honey	https://s3.amazonaws.com/assets.cce.cornell.edu/images/23070/original/maple-syrup.jpg?1506456576		
Meat Market	https://s3.amazonaws.com/assets.cce.cornell.edu/images/23086/original/grilled-meat850x425.jpg?1506543184		
Nursery/Plants	https://s3.amazonaws.com/assets.cce.cornell.edu/images/622/original/coleus-cornell.png?1392047978		
Restaurants	https://get.pxhere.com/photo/restaurant-color-wedding-interior-design-ceremony-rehearsal-dinner-1400641.jpg		
Road-Side Stand	https://upload.wikimedia.org/wikipedia/commons/5/5e/Ambrosia_Farm_Produce_Stand_%2828066608710%29.jpg		
Seasonal Activities	https://c.pxhere.com/photos/84/06/pumpkins_nature_fall_cart-802934.jpg!d		
U-Pick	https://c.pxhere.com/photos/d4/9e/apple_agriculture_fruit_nature_bio_healthy_orchard_food-1272774.jpg!d		
Weddings & Special Events	https://c.pxhere.com/photos/4e/72/dining_table_table_cutlery_tableware_retro_rustic_glass_porcelain_cutlery-1353029.jpg!d		
Winery	https://s3.amazonaws.com/assets.cce.cornell.edu/images/635/original/swedish-hill-cornell.png?1392055417		
